,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,A_pga,A_pgv,dM,A_site
284,WU,KLBO,45.36,-80.21,0.0,0.0,0.0,0.0,1.41209,1.30108,0.0179166666666666,0.0
285,WU,MEDO,43.16,-78.45,35.35,4.36,0.0,0.0,1.93339,1.6386,-0.0195906432748538,0.0
286,WU,PECO,43.93,-76.99,27.26,4.37,0.0,0.0,0.917753,0.892828,0.0503395061728394,0.0
287,WU,PEMO,45.68,-77.25,29.73,15.39,0.0,0.0,2.22448,1.28589,0.1414960629921259,0.0
288,WU,PKRO,43.96,-79.07,1.56,11.22,1.82,12.98,5.27926,4.88147,0.45875,5.2732
289,WU,PLIO,41.75,-82.63,0.0,0.0,0.0,0.0,1.91059,1.84075,-0.0097087378640777,0.0
290,WU,PLVO,45.04,-77.08,0.0,0.0,0.0,0.0,2.19231,1.67206,0.1538095238095237,0.0
291,WU,STCO,43.21,-79.17,3.41,5.01,4.17,7.04,3.35778,2.55137,0.155691489361702,3.8302
292,WU,TOBO,45.23,-81.52,35.35,11.83,0.0,0.0,1.44279,1.67761,-0.081360544217687,0.0
293,WU,TORO,43.61,-79.34,1.1,28.18,1.05,35.04,6.97324,5.56067,0.7822368421052631,5.632
294,WU,TYNO,43.09,-79.87,4.05,11.89,4.17,11.19,3.90884,3.04225,0.2293392070484581,3.3310000000000004
295,WU,WLVO,43.92,-78.4,16.21,4.41,,,,,0.0689801699716713,0.0
